CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"A 0, 1M1",2,210021000,210128834,010100000,013999999,230101003,230141001,002100000,012882999,De la Calle 2  hasta la Calle 12z,De la Cra 10 Impar hasta la Cra 14 Par
"A 0, 1M2",2,210021000,210128834,014100000,018999999,230141003,230191001,002100000,012882999,De la Calle 2  hasta la Calle 12z,De la Cra 14 Impar hasta la Cra 19 Par
"A 0, 2M1",2,110011000,110021001,019100000,026882999,130191003,130268830,001100000,001999999,De la Calle 1  hasta la Calle 2 Impar,De la Cra 19 Impar hasta la Cra 26z
"A 0, 2M2",2,110001000,110021001,027100000,029999999,130271000,130301001,000100000,001999999,De la Calle 0  hasta la Calle 2 Impar,De la Cra 27  hasta la Cra 30 Par
"A 0, 2M2",2,210011000,210128834,027100000,029999999,230271000,230301001,001100000,012882999,De la Calle 1  hasta la Calle 12z,De la Cra 27  hasta la Cra 30 Par
"A 0, 2M3",2,210001000,210128834,019100000,026882999,230191003,230268830,000100000,012882999,De la Calle 0  hasta la Calle 12z,De la Cra 19 Impar hasta la Cra 26z
"A 0, 3M1",2,210001000,210088834,030100000,033882999,230301003,230338830,000100000,008882999,De la Calle 0  hasta la Calle 8z,De la Cra 30 Impar hasta la Cra 33z
"A 0, 3M1",2,110011000,110031003,030100000,033882999,130301003,130338830,001100000,002999999,De la Calle 1  hasta la Calle 3 Par,De la Cra 30 Impar hasta la Cra 33z
"A 0, 3M2",2,210001000,210088834,034100000,036882999,230341000,230368830,000100000,008882999,De la Calle 0  hasta la Calle 8z,De la Cra 34  hasta la Cra 36z
"A 0, 3M2",2,110011000,110031003,034100000,036882999,130341000,130368830,001100000,002999999,De la Calle 1  hasta la Calle 3 Par,De la Cra 34  hasta la Cra 36z
"A 0, 4M1",2,210001000,210088834,037100000,039882999,230371000,230398830,000100000,008882999,De la Calle 0  hasta la Calle 8z,De la Cra 37  hasta la Cra 39z
"A 0, 4M1",2,110011000,110031003,037100000,039882999,130371000,130398830,001100000,002999999,De la Calle 1  hasta la Calle 3 Par,De la Cra 37  hasta la Cra 39z
