tipo,numero,letras,n_letras,factor
AC,45,A,1,5000
AC,57,R,1,5000
AC,60,G,1,5000
AC,64,C,1,5000
AC,71,B,1,5000
AC,84,A,1,5000
AC,800000,S,1,5000
AC,2600000,S,1,5000
AC,4300000,S,1,5000
AC,5400000,S,1,5000
AC,5500000,S,1,5000
AC,6100000,S,1,5000
AC,6800000,S,1,5000
AC,7100000,S,1,5000
AC,7500000,S,1,5000
AK,16,B,1,5000
AK,68,D,1,5000
AK,70,C,1,5000
AK,71,B,1,5000
AK,80,G,1,5000
AK,88,D,1,5000
AK,89,B,1,5000
CL,1,"A,B,C,D,F,G,H",7,1250
CL,2,"A,B,C,D,F,G",6,1428
CL,3,"A,B,C",3,2500
CL,4,"A,B,C,D,F,G",6,1428
CL,5,"A,B,C",3,2500
CL,6,"A,B,C,D,F,G,H",7,1250
CL,7,"A,B,C,D,F",5,1666
CL,8,"A,B,C,D,F",5,1666
CL,9,"A,B,C,D",4,2000
CL,10,"A,B,C,D,F,G",6,1428
CL,11,"A,B,C,D,F",5,1666
CL,12,"A,B,C,D,F",5,1666
CL,13,"A,B,C,D,F",5,1666
CL,14,"A,B,C,D,F",5,1666
CL,15,"A,B,C,D,F",5,1666
CL,16,"A,B,C,D,F,G,H,I,J",9,1000
CL,17,"A,B,C,D,F,G",6,1428
CL,18,"A,B,C",3,2500
CL,19,"A,B,C",3,2500
CL,20,"A,B,C,D,F",5,1666
CL,21,A,1,5000
CL,22,"A,B,C,D,F,G,H,I,J,K,L,M",12,769
CL,23,"A,B,C,D,F,G,H,I,J",9,1000
CL,24,"A,B,C,D,F",5,1666
CL,25,"A,B,C,D,F,G,H",7,1250
CL,26,"A,B,C,D",4,2000
CL,27,"A,B,C,D",4,2000
CL,28,"A,B,C,D,G,H",6,1428
CL,29,"A,B,C",3,2500
CL,30,"A,B,C,D,F,G",6,1428
CL,31,"A,B,C,D,F,G",6,1428
CL,32,"A,B,C,D,F",5,1666
CL,33,"A,B,C",3,2500
CL,34,"A,B,C",3,2500
CL,35,"A,B,C,D,F",5,1666
CL,36,"A,B,C,D,F,G,H,I,J,K,L,M",12,769
CL,37,"A,B,C,D,F,G,H",7,1250
CL,38,"A,B,C,D,F,G,H",7,1250
CL,39,"A,B,C,D,F,G,H,I",8,1111
CL,40,"A,B,C,D,F,G,H,I,J,K",10,909
CL,41,"A,B,C,D,F,G,H",7,1250
CL,42,"A,B,C,D,F,G,H,I,J",9,1000
CL,43,"A,B,C,D,F",5,1666
CL,44,"A,B,C,D,F,G",6,1428
CL,45,"A,B,C,D,F",5,1666
CL,46,"A,B,C,D,F,G,H",7,1250
CL,47,"A,B,C",3,2500
CL,48,"A,B,C,D,F,G,H,I,J,K,L,M,N,P,Q,R,T,U,W,X,Y,Z",22,434
CL,49,"A,B,C,D,F,G,H,I",8,1111
CL,50,"A,B,C,D,F",5,1666
CL,51,"A,B,C,D,F,G",6,1428
CL,52,"A,B,C,D,F,G",6,1428
CL,53,"A,B,C,D,F,G,H",7,1250
CL,54,"A,B,C,D,F,G,H,I,J,K",10,909
CL,55,"A,B,C",3,2500
CL,56,"A,B,C,D,F,G,H,I",8,1111
CL,57,"A,B,C,D,F,G,H,I,J,K,L,M,N,P,Q,R,T,U,V,X,Y,Z",22,434
CL,58,"A,B,C,D,F,G,H,I,J,K,L,M,N,P,Q",15,625
CL,59,"A,B,C,D",4,2000
CL,60,"A,B,C,D,F",5,1666
CL,61,"A,B,C,D,F",5,1666
CL,62,"A,B,C,D,F,G,H,I,J,K",10,909
CL,63,"A,B,C,D,F,G,H,I,J,K,L",11,833
CL,64,"A,B,C,D,F,G,H,I,J,K",10,909
CL,65,"A,B,C,D,F,G,H,I,J",9,1000
CL,66,"A,B,C,D",4,2000
CL,67,"A,B,C,D,F,G",6,1428
CL,68,"A,B,C,D,F,G,H,I,J,K,L",11,833
CL,69,"A,B,C,D,F,G,H,I,J,K,L,M,N,P,Q,R,T,U,V",19,500
CL,70,"A,B,C,D,F,G,H,I,J,K,L,M,N,P,R,T,U",17,555
CL,71,"A,B,C,D,F,G,H,I,J,K,L,M,N,P",14,666
CL,72,"A,B,C,D,F,G,H,I,J",9,1000
CL,73,"A,B,C,D,F,G",6,1428
CL,74,"A,B,C,D,F",5,1666
CL,75,"A,B,C,D,F,G,H",7,1250
CL,76,"A,B,C,D",4,2000
CL,77,"A,B,C,D",4,2000
CL,78,"A,B,C,D,F",5,1666
CL,79,"A,B,C,D,F,G",6,1428
CL,80,"A,B,C,D",4,2000
CL,81,"A,B,C,D,F,G,H,I",8,1111
CL,82,"A,B,C,D",4,2000
CL,83,"A,B,C,D",4,2000
CL,84,"A,B,C,D",4,2000
CL,85,"A,B,C,D",4,2000
CL,86,"A,B,C,D",4,2000
CL,87,"A,B,C,D,F,G",6,1428
CL,88,"A,B,C,D,F,G,H,I,J",9,1000
CL,89,"A,B,C,D,F,G",6,1428
CL,90,"A,B,C,D,F",5,1666
CL,91,"A,B,C,D",4,2000
CL,92,"A,B,C",3,2500
CL,93,"A,B,C,D",4,2000
